Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/130/158/20-21,Improvement Of Gimba Playing Field,2020-2021,n/a,400000,"Youth, Sports, Gender and Social Services",,400000,
006/130/159/20-21,Construction Of New Kaloleni Stadium,2020-2021,n/a,2000000,"Youth, Sports, Gender and Social Services",,2000000,
006/130/16/24-25,Youth Empowerment,2024-2025,n/a,10072000,"Youth, Sports, Gender and Social Services",,10072000,
006/130/160/20-21,Purchase Of Sports Equipment,2020-2021,Azizhalik Investment," 353,500.00 ","Youth, Sports, Gender and Social Services",," 353,500.00 ",
006/130/161/20-21,Sagala  Vtc Twin Workshop,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Vtc Twin Workshop
006/130/162/20-21,Kanyanga Ecde,2020-2021,JOPETRAD EAST AFRICA LTD," 349,706.00 ","Education, Libraries and VTCs",," 349,706.00 ",Construction Of Kanyanga Ecde
006/130/163/20-21,Bamako Maternity Block,2020-2021,INTERGLOBE HOLDINGS LTD," 2,144,401.50 ",Health Services,," 2,144,401.50 ",Construction Of Bamako Maternity Block
006/130/164/20-21,Construction Of Manyani Ecde 2 Classrooms And Administration Block,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 2 Classrooms & Administration Block
006/130/165/20-21,Equipping Of Ecdes With Furniture For Teachers And Students,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Supply Of Furniture For Ecde Teachers And Learners
006/130/166/20-21,Purchase Of Plastic Chairs For Ghazi Social Hall,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,0,Supply Of Furniture For Social Hall
006/130/167/20-21,Maintenance Of Mwamranga - Mbembe - Wongonyi Road,2020-2021,TATAWE INVESTMENT CO LIMITED," 2,780,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 2,780,000.00 ",Maintenance Of Feeder Road
006/130/168/20-21,Bungule -Kirongwe Road Culverting,2020-2021,Alric View Limited,2000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,Rehabilitation Of The Road
006/130/169/20-21,Buguta Mwakwasinyi Road,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Rehabilitation Of The Road
006/130/17/24-25,Community Empowerment- Agriculture (Pwds),2024-2025,n/a,1500000,"Youth, Sports, Gender and Social Services",,1500000,
006/130/171/20-21,Buguta Boda Boda Shed,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Boda Boda Shed
006/130/172/19-20,Kaloleni Footbridge,2019-2020,n/a,5000000,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,5000000,Construction Of Metalic Footbridge
006/130/173/19-20,Kaloleni Feeder Road/Murram,2019-2020,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,610,080.00 ",Murraming Of The Feeder Road
006/130/174/19-20,Bondeni Box Culvert,2019-2020,Hatuna Chuki," 1,962,636.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,962,636.00 ",Construction Of Box Culvert
006/130/175/19-20,Mwanyambo Special Unit,2019-2020,Stingal Building," 698,772.00 ","Education, Libraries and VTCs",," 698,772.00 ",Construction Of Modern  Special Unit Class
006/130/176/19-20,Ndovu Health Centre Outpatient Wing,2019-2020,n/a,0,Health Services,,0,Construction Of Outpatient Block
006/130/177/19-20,Kaloleni Feeder Road,2019-2020,Hatuna Chuki," 1,610,080.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",," 1,610,080.00 ",Light Grading And Patch Murruming
006/130/178/19-20,Kaloleni Social Hall,2019-2020,HATUNA CHUKI BREAKDOWN," 510,000.00 ","Youth, Sports, Gender and Social Services",," 510,000.00 ",Construction Of Modern Hall
006/130/179/19-20,Majengo Ecde Class+3Door Toilet,2019-2020,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Class & 3 Door Toilet
006/130/18/24-25,Rumangao Dispensary Renovation,2024-2025,Lanix Holding Limited,1500000,Health Services,774,1500000,Renovation Of Rumangao Dispensary
006/130/180/19-20,Mnaoni Ecde Class,2019-2020,KIDAYA GENERAL CONTRACTORS," 624,760 ","Education, Libraries and VTCs",," 624,760 ",Construction Of Class
006/130/181/19-20,Kalambe Ecde Class+Toilet,2019-2020,Women of Galilee," 718,613.00 ","Education, Libraries and VTCs",," 718,613.00 ",Construction Of Class& Toilet
