Project Number,Project Title,Financial Year,Contractor Name,Estimated Cost,Department,Approval/Contract Number,Amount Paid,Project Scope
006/132/238/16-17,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts,2016-2017,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Eldoro Kitoghoto Ngutuni Road Murraming And Lineof 900Mm Culverts
006/132/239/15-16,Njukini Mkt Grading & Gravelling ,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading  & Gravelling Njukini Mkt
006/132/24/24-25,Desilting Njoro Kubwa Canal,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Clearing Of The Canal
006/132/240/15-16,Bishop Njenga Rd,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Grading Of The Road
006/132/241/15-16,Chala Chini Tank 10000L,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Purchase Of Tank
006/132/242/15-16,Irrigation  Two 10000L Tanks,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Purchase Of Two L Tanks
006/132/243/15-16,Mahandakini Disp. Twin Staff Hse,2015-2016,n/a,0,Health Services,,0,Construction Of Disp Twin Staff Hse
006/132/244/15-16,Kivukoni 10 Door Pit Latrine,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Door Pit Latrine
006/132/245/15-16,Chumvini Mkt Shed,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Mkt Shed
006/132/246/15-16,Machungwani Kwa Hassan Rd,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Gravelling 
006/132/247/15-16,Timboni Kwa Edward Road,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murumming Of The Road
006/132/248/15-16,Rehabilitation Harambee/Chakaleri Timbila Rd,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/249/15-16,Timboni Kwa Edward Road,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murumming Of The Road
006/132/25/24-25,Culvert Of Maseketeni Ngutini Road ,2024-2025,Bonwal Construction And Holding Company Limited ,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2843450,Upgraiding Of The Road
006/132/250/15-16,Rehabilitation Harambee/Chakaleri Timbila Rd,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/251/15-16,Trench Digging And Pipe Installation At Kitivo Farms - Mata Ward (Pending Bills),2015-2016,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Rehabilitation Of Kitivo Farms 
006/132/252/15-16,Construction Of Crush Pens (Kimala And Njoro) (Mata Ward)-,2015-2016,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of Crush Pens 
006/132/253/15-16,Starting Of Fishponds In Lake Jipe,2015-2016,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of The Fish Ponds 
006/132/254/15-16,Mata Pre School Construction Of 1 Classroom,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Mata Pre School Construction Of 1 Classroom
006/132/255/15-16,Construction Of 1 Classroom - Rekeke Pre School,2015-2016,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom - Rekeke Pre School
006/132/256/15-16,Construction Of Kachero Dispensary,2015-2016,n/a,0,Health Services,,0,Construction Of Kachero Dispensary
006/132/257/15-16,Jipe Road Bridges,2015-2016,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Jipe Road Bridges
006/132/258/14-15,Lumi Dispensary,2014-2015,n/a,0,Health Services,,0,Construction Of Dispensary
006/132/259/14-15,Mandakini Maternity Block& Renovation,2014-2015,n/a,0,Health Services,,0,Construction Of Maternity Block& Renovation
006/132/260/14-15,Njukini Shed  &Toilet,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Shed Toilet
006/132/261/14-15,Chumvini Twin Workshop & Toilet,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Twin Workshop & Toilet
006/132/262/14-15,Rehabilitation Harambee/Chakaleri Timbila Rd,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/263/14-15,Rehabilitation Of Remus-Maroro Road,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/264/14-15,Rehabilitation Of Darajani Shopping Centre,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/265/14-15,"Majengo,Russiain Bomani ",2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/266/14-15,Leshampta Merosho Road,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/267/14-15,Competion Of Majengo Road,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/268/14-15,Rehabilitation Of Luworo Road,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murumming Of The Road
006/132/269/14-15,Rehabilitation Of Kimala Irrigation Scheme(Mata Ward)-Wdf,2014-2015,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Rehabilitation Of Canal
006/132/27/23-24,Youth Road California,2023-2024,Yakn International Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,992199,Murruming Of The Road
006/132/270/14-15,Rehabilitation Of Kitivo Farms(Mata Ward)-Wdf,2014-2015,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Rehabilitation Of Canals 
006/132/271/14-15,Starting Of Mkocheni Kachero Irrigation Scheme(Mata Ward)-Wdf,2014-2015,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Rehabilitation Of Canals 
006/132/272/14-15,Construction Of Crush Pens (Kimala And Njoro) (Mata Ward)-Wdf,2014-2015,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of Crush Pens 
006/132/273/14-15,Construction Of Sheds At Lake Jipe (Mata Ward)-Wdf,2014-2015,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction Of 1 Shed At Lake Jipe Entrance 
006/132/274/14-15,Construction Of Fish Pond For Farmers (Mata Ward) (Mata Ward)-Wdf,2014-2015,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Construction Of The Fish Ponds 
006/132/275/14-15,Construction Of 1 Classroom (Salaita Preschool) (Mata Ward)-Wdf,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/276/14-15,Construction Of 1 Classroom (Orkungu Preschool) (Mata Ward)-Wdf,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/277/14-15,Furnishing Of 6 Ecd Centers (Mata Ward),2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Furnishing Of 6 Ecd Centers (Mata Ward)
006/132/278/14-15,Construction Of Mwangemi Ecd Toilet (Mata Ward),2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Toilet
006/132/279/14-15,Constuction Of 1 Classroom (Mwangenyi Pre School) (Mata Ward),2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/28/23-24,Hyder Park Phase 1&2,2023-2024,Ringoma Renovators,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1495193.6,Construction Of Slab
006/132/280/14-15,Constuction Of 2 Classroom (Salaita Pre School) (Mata Ward),2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/281/14-15,Construction Of 1 Classroom (Tanjine Preschool) (Mata Ward)-Wdf,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Classroom 
006/132/282/14-15,Construction Of Kachero Dispensary  (Mata Ward)-Wdf,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of The Main Dispensary Block 
006/132/283/14-15,Renovation Of Staff Houses - Mata Dispensary (Mata Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Renovation Of Staff Quarters 
006/132/284/14-15,Rekeke Health Centre Construction Of Staff Houses (Mata Ward)-Wdf,2014-2015,n/a,0,Health Services,,0,Construction Of The Staff Quarters 
006/132/285/14-15,Refurbishment Of Lotima Ecd(Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Renovation Of The Class Room
006/132/286/14-15,Construction Of Python Hill Ecd(Mboghoni Ward),2014-2015,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Ecde Classroom
006/132/287/14-15,Completion Of Kitobo Dispensary(Mboghoni Ward)-Wdf,2014-2015,n/a,0,Health Services,,0,"Renovation,Construction And Upgraing Of The Dispensary"
006/132/288/14-15,Maternity Wing-Kiwalwa Dispensary(Mboghoni Ward)-Wdf,2014-2015,n/a,0,Health Services,,0,
006/132/289/14-15,Construction Of Culverts(Kitobo-Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/29/23-24,By Pass Nguru Road,2023-2024,Zavon Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1658300,Murrummung Road
006/132/290/14-15,Construction Of Kimondia Road-(Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Clearing And Expansion Of The Road
006/132/291/14-15,Kimorigo Drains,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Clearing Of The Drains
006/132/292/14-15,Murraming Of Mrabai Makine Edora Road(Mboghonyi Ward),2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/293/14-15,Upgrading Of Ngutuni Kitoghoto Eldoro Road(Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of The Road
006/132/294/14-15,Upgrading Of Mboghoni Mereni Road(Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/295/14-15,Ngutuni Town Road(Mboghoni Ward)-Wdf,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/296/14-15,Pending Bills - Mboghoni Ward,2014-2015,n/a,0,,,0,
006/132/297/14-15,"Purchase Of Fencing Material -Kitobo ,Mboghoni (Rebudgeted)",2014-2015,n/a,0,,,0,
006/132/298/14-15,Murraming Of Eldoro Mokine Road,2014-2015,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Upgraiding Of The Road
006/132/299/13-14,Bishop Njenga Fence,2013-2014,n/a,0,"Education, Libraries and VTCs",,0, Compound Fencing
006/132/30/23-24,Lessesia Primary Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murruming Of The Road
006/132/300/13-14,Purchase Of  Dispensary Drugs ,2013-2014,n/a,0,Health Services,,0,Supply Of Medical Drugs 
006/132/301/13-14,Construction Of A Dispensary ,2013-2014,n/a,0,Health Services,,0,Construction Of Foundation Floor 
006/132/302/13-14,Purchase Of Dispensary Furniture,2013-2014,n/a,0,Health Services,,0,Equipping Of Furniture 
006/132/303/13-14,Purchase of Marternity Beds ,2013-2014,n/a,0,Health Services,,0,Purchase of Marternity Beds 
006/132/304/13-14,Purcahse of Inpatient ward beds ,2013-2014,n/a,0,Health Services,,0,Purcahse of Inpatient ward beds 
006/132/305/13-14,Culvet Installation ,2013-2014,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Culvet Installation 
006/132/306/13-14,Construction of community Hall,2013-2014,n/a,0,"Youth, Sports, Gender and Social Services",,0,Construction of community Hall
006/132/31/23-24,Ebennezer  Kilimanjaro Rd Konoike,2023-2024,Yakyn International Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,999980,Murruming Of The Road
006/132/32/23-24,Danida Hall,2023-2024,Mushedede Royale Ltd P.O Box 263-90200 Kitui,0,"Youth, Sports, Gender and Social Services",,499032,Renovation Of The Hall
006/132/33/23-24,Construction Of Ndilidau Ecd Classroom,2023-2024,Maze Logistics And Supplies Limited,0,"Education, Libraries and VTCs",,1399999.36,Construction Of 1 Classroom 
006/132/34/23-24,Construction Of Mata Ecd Classroom,2023-2024,Triplux Limited,0,"Education, Libraries and VTCs",,1384650,Construction Of 1 Classroom 
006/132/35/23-24,Construction Of Kimondia Ecd Classroom,2023-2024,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Kimondia Ecd Classroom
006/132/36/23-24,Construction Of Tangaini Ecd Classroom,2023-2024,Aruba Construction Limited,0,"Education, Libraries and VTCs",,1391918,Construction Of 1 Classroom 
006/132/37/23-24,Fencing Of Phase Ii Kimala Ecd ,2023-2024,Vulmatt Kenya Limited,0,"Education, Libraries and VTCs",,2099990,Fencing Construction 
006/132/38/23-24,Rehabilitation And Grading Of Mata Ward Roads,2023-2024,Blue Avenue Ventures,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2400000,Rehabilitation And Grading Of Mata Ward Roads
006/132/39/23-24,Youth And Women Empowerment,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",,0,Youth And Women Empowerment
006/132/40/23-24,Supply Of Beds And Mattresses For Kitobo Dispensary-,2023-2024,n/a,0,Health Services,,0,
006/132/41/23-24,Formation And Murraming  Of Njoro-Lotima A Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/42/23-24,Grading And Murraming Of Kitoghoto-Ngutini Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/43/23-24,Slabbing Of A Drift At Njoro-Lotima B Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/44/23-24,Formation And Murraming Of Ukambani-Mlimani Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/45/23-24,Grading And Murraming Of Maseketeni-Lambo-Abori Road,2023-2024,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,
006/132/46/23-24,Purchase Of Motor Cycles For Youths Empowerment,2023-2024,n/a,0,"Youth, Sports, Gender and Social Services",,0,
006/132/47/22-23,Light Grading And Murraming  Of Califonia Road (Airstrip-Mosque,2022-2023,Blue Avenue Ventures,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1500000,Light Grading And Murraming  Of Califonia Road (Airstrip-Mosque
006/132/48/22-23,Light Grading Oftimbila   By Pass-Round  About -Darajani,2022-2023,Blue Avenue Ventures,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1500000,Light Grading Oftimbila   By Pass-Round  About -Darajani
006/132/49/22-23,Grading Of Kitondoni  -Timbila Road,2022-2023,Saleh Construction And Roadworks Ltd,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,2000000,Grading Of Kitondoni  -Timbila Road
006/132/50/22-23,Installation  Of Kasokoni-Kisuu  Box Culvert,2022-2023,Idha Enterprises Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,1500000,Installation  Of Kasokoni-Kisuu  Box Culvert
006/132/51/22-23,Slabbing Of Hyder Park Road,2022-2023,Muhadhi Brothers Trading Co.,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",1167667,1267203.12,Slabbing Of Hyder Park Road
006/132/52/22-23,Kimala Ecde Fencing ,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Fencing Construction 
006/132/53/22-23,Development  Of Rekeke Vtcs,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Purchasing Of Equipment 
006/132/55/22-23,Renovation Of Jipe Dispensary,2022-2023,n/a,0,Health Services,,0,Renovation Of Kachero Dispensary Construction Of 1 Classroom 
006/132/56/22-23,Purchase Of Fertilizers To Rice Farmers Of Uswi Cooperative,2022-2023,Banane North Explorers Limited,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,1800000,Purchase Of Fertilizers To Rice Farmers Of Uswi Cooperative
006/132/57/22-23,Finishing Of Milk Cooling Plant In Eldoro,2022-2023,Aruba Construction And General Merchants,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,597852.4,Finishing Of Milk Cooling Plant In Eldoro
006/132/59/22-23,Construction  Ofmaseketeni   Ecde,2022-2023, Colha Investments,0,"Education, Libraries and VTCs",,1579514,Construction  Ofmaseketeni   Ecde
006/132/60/22-23,Equipping Of Kambugu   Vtc ,2022-2023,Peacecom Data Solution Limited,0,"Education, Libraries and VTCs",,500000,Equipping Of Kambugu   Vtc 
006/132/61/22-23,Development Of  Wards Vtcs,2022-2023,n/a,0,"Education, Libraries and VTCs",,0,Development Of  Wards Vtcs
006/132/62/22-23,Murraming Of Majengo Buruma Road,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murraming Of Majengo Buruma Road
006/132/63/22-23,Fueling Of Mboghoni Excavator And Servicing,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fueling Of Mboghoni Excavator And Servicing
006/132/64/22-23,Eldoro-Kisimani Solar Panels And Fittings,2022-2023,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Eldoro-Kisimani Solar Panels And Fittings
006/132/65/22-23,"Supply & Delivery Of Sport Items, Plastic Chairs & Water Tanks",2022-2023,Faxtech Company Limited,0,"Youth, Sports, Gender and Social Services",,1697500,"Supply & Delivery Of Sport Items, Plastic Chairs & Water Tanks"
006/132/66/22-23,Rehabilitation Of Njoro Lotima Road,2022-2023,Sangenyi General Limited,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,4100000,Rehabilitation Of Njoro Lotima Road
006/132/67/22-23,Rice Mill Plant,2022-2023,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,0,Rice Mill Plant
006/132/68/21-22,Mahoo Ward Wide Roads,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Maintenance And Rehabilitation
006/132/69/21-22,Purchase Of Milling Machine For Single Cell Anaemia Group (Kisiagi),2021-2022,n/a,0,"Youth, Sports, Gender and Social Services",,0,Purchase Of Milling Machine For Single Cell Anaemia Group (Kisiagi)
006/132/70/21-22,Pump And Accessories For Kassaani Borehole,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Pump And Accessories For Kassaani Borehole
006/132/71/21-22,Dry Hiring Of Excavator For  Desilting Canal In Mata Ward,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Dry Hiring Of Excavator For  Desilting Canal In Mata Ward
006/132/72/21-22,Fuel For Desilting Canals In Mata Ward,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Fuel For Desilting Canals In Mata Ward
006/132/73/21-22,Completion Of Two Classrooms (Grogan Ecde),2021-2022,n/a,0,"Education, Libraries and VTCs",,0,Completion Of Two Classrooms (Grogan Ecde)
006/132/74/21-22,Formation Of Kimondia - Chachewa - Ngaa Road(Ongoing),2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,New Road Formation 
006/132/75/21-22,Formation Of Grigan - Ngaa Road,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,New Road Formation 
006/132/76/21-22,Opening And Grading Of Mtakuja Sand Harvesting Road,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Bush Clearing And Grading 
006/132/77/21-22,Grading And Murraming Of Ndilidau Roads,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Murraming 
006/132/78/21-22,Grading And Murraming Of Mwakoi Road,2021-2022,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Grading And Murraming 
006/132/79/20-21,Chumvini Bodaboda Shed,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Bodaboda Shed
006/132/80/20-21,Chokaa Ecde,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Class
006/132/81/20-21,Phase One Kidongu Dispensary,2020-2021,n/a,0,Health Services,,4000000,Construction Of Dispensary
006/132/82/20-21,Mahandakini Fence,2020-2021,n/a,0,Health Services,,0,Construction Of Fence
006/132/83/20-21,Uthiani Footbridge,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Construction Of Footbridge
006/132/84/20-21,Muusini Toilet & Tank,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Toilet
006/132/85/20-21,Kalambani Fence,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Fencing Ecde Compound
006/132/86/20-21,Phase 2 Fencing Of Chala Dispensary ,2020-2021,n/a,0,Health Services,,994945,Construction Of Disp Fence
006/132/87/20-21,Chala Disp. Fence ,2020-2021,n/a,0,Health Services,,0,Construction Of Disp Fence
006/132/88/20-21,Irrigation Ecde,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Class
006/132/89/20-21,Rehabilitation Harambee/Chakaleri Timbila Rd,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,0,Murrumming Of The Road
006/132/90/20-21,Kirimeri Nursery Perimeter Fence,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Ecde 
006/132/91/20-21,Maklortiti Dispensary Equipment,2020-2021,n/a,0,Health Services,,745000,Equpping Of Dispensary
006/132/92/20-21,Malkulority Ecde ,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of 1 Class
006/132/93/20-21,Nakuruto Ecde,2020-2021,n/a,0,"Education, Libraries and VTCs",,0,Construction Of Ecde
