Project Number,Project Title,Project Status,Financial Year,Contractor Name,Estimated Cost,Department,Implemented By,Partner,Expected Start Date,Expected End Date,Approval/Contract Number,Contract Period (Days),Technical Rating,Completion Level,Amount Paid,Total Percentage,Project Scope,Administrative Level,Project Location,Location Names,Latitude,Longitude,Funded By,Percentage of Funding,Partner,,Admin Level,Admin
006/131/08/24-25,Njawuli Hall Completion And Chairs +2 Doors Toilet + Boda Boda Youth And Sports,Complete,2024-2025,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,0,0,"Walling, roofing, doors, windows, power connection, digging of pit latrines",Admin 3,,Mwanda/Mgange,-3.40269400,38.2781010,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/09/24-25,Grading Of Mghambonyi-Kitumbi-Kishenyi Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,6622370,0,Grading and bush clearing,Admin 3,,Wumingu/Kishushe,-3.35795,38.359869,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/10/24-25,Grading Of Brookside-Ngandenyi-Pompo-Vighombonyi Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,6622370,0,Grading and bush clearing,Admin 3,,Wumingu/Kishushe,-3.21238,38.359869,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/103/20-21,Construction Of Pompo Bridge,Complete,2020-2021,EASTMEN CONSTUCTION AND SUPPLIES CO LTD," 6,999,999.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 6,999,999.00 ",0,Twin cell box culvert,Admin 3,,Wumingu/Kishushe,-3.344635,38.351031,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/104/20-21,Supply Of Macademia And Seedlings,Complete,2020-2021,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/105/20-21,Supply Of Manure,Complete,2020-2021,KENGIA ENTERPRISE ," 980,000 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0," 980,000 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/106/20-21,Water Distribution For The Ward,Complete,2020-2021,n/a,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/107/20-21,Compeletion Of 2 Nguraru,Complete,2020-2021,POPULAS DEI ENT LTD," 1,498,300.00 ","Education, Libraries and VTCs",,,,,,0,,0," 1,498,300.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/109/20-21,"Completion Of Shigharo/Mtukunyi Dispensary,With Equipment",Complete,2020-2021,n/a,0,Health Services,,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/11/24-25,Grading Of Brookside-Mchungunyi-Mlondo Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,6622370,0,Grading and bush clearing,Admin 3,,Wumingu/Kishushe,-3.359858,38.351311,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/110/20-21,Mwaleni Msangarenyi Road Escavation Murraming Grading,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/111/20-21,Levy Fund,Complete,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/112/20-21,Mbale Vtc,Complete,2020-2021,n/a,0,"Education, Libraries and VTCs",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/113/20-21,"Youth & Women, Disabled Empowernment ",Complete,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/114/20-21,Formation Of Mwalenyi-Msangaghenyi Road,Complete,2020-2021,GM CONTRACTORS LTD," 2,577,243.60 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 2,577,243.60 ",0,formation of mwalenyi-msangaghenyi road,Admin 3,,Wundanyi/Mbale,-3.39071,38.36774,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/115/20-21,Rehabilitation Of Mole Talaya Road,Complete,2020-2021,BROMINE SOLUTIONS," 974,751.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 974,751.00 ",0,rehabilitation of mole talaya road,Admin 3,,Wundanyi/Mbale,-3.40795,38.35756,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/116/20-21,Proposed Rehabilitation Of Mranju Road,Complete,2020-2021,Decah Consolidated Systems Ltd,1277160,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,1277160,0,proposed rehabilitation of mranju road,Admin 3,,Wundanyi/Mbale,-3.4109,38.36158,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/117/20-21,Mwangeka Wesu Road,Complete,2020-2021,TATAWE INVESTMENT COMPANY LIMITED," 882,806.40 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 882,806.40 ",0,mwangeka wesu road,Admin 3,,Wundanyi/Mbale,-3.4096,38.34949,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/118/20-21,Hebron Mwalachi Footbridge,Stalled,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,980347.9,0,hebrons mwalachi  footbridge,Admin 3,,Wundanyi/Mbale,-3.40205,38.36479,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/119/20-21,Rehabilitation Of Mtukunyi Shigharo Road,Complete,2020-2021,GM CONTRACTORS LTD," 909,440.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 909,440.00 ",0,REHABILITATION OF MTUKUNYI SHIGHARO ROAD,Admin 3,,Wundanyi/Mbale,-3.40755,38.35074,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/12/24-25,Renovation Of Mghambonyi Market Shed,Complete,2024-2025,LEMAX AGENCIES LIMITED," 1,997,636.00 ","Trade, Tourism, Culture and Industrialization",,,,,,0,,0," 1,997,636.00 ",0,"Roofing,slabbing,painting,elctricity installation and tank",Admin 3,,Wumingu/Kishushe,-3.355735,38.361041,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/120/20-21,Wanganga Mghoghonyi Road,Complete,2020-2021,Ahadi Merchants Limited," 2,124,618.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 2,124,618.00 ",0,WANGANGA MGHOGHONYI ROAD,Admin 3,,Wundanyi/Mbale,-3.37485,38.39627,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/121/20-21,Masumbenyi E.C.D,Complete,2020-2021,MOMA HERITAGE CONSTRUCTION LTD," 1,615,970.00 ","Education, Libraries and VTCs",,,,,,0,,0," 1,615,970.00 ",0,CONSTRUCTION OF MASUMBENYI E.C.D,Admin 3,,Wundanyi/Mbale,-3.41597,38.35518,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/122/20-21,Proposed Construction Of Masumbenyi Social Hall,Stalled,2020-2021,n/a,0,"Youth, Sports, Gender and Social Services",,,,,,0,,0,4828880,0,,Admin 3,,Wundanyi/Mbale,-3.41597,38.35518,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/123/20-21,Proposed Electrical Rennovation And Power Upgrade Works At Wundanyi Sub County Hospital,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,974700,0,,Admin 3,,Wundanyi/Mbale,-3.40303,38.36311,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/124/20-21,Construction Of Wundanyi Market Shed,Stalled,2020-2021,SPLENDOR ENERGY LTD," 3,653,694.30 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 3,653,694.30 ",0,,Admin 3,,Wundanyi/Mbale,-3.40438,38.36606,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/125/20-21,Fence,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,1000000,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/126/20-21,Construction Of 2N0.Classrooms  And 4 Door Toilets,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,4300000,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/127/20-21,Request For Maintenance Of Wundanyi Slaughter,Complete,2020-2021,ARUBA CONSTRUCTION & GENERAL MERCHANTS," 596,163.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0,596163,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/128/20-21,Manalonyi Mdundonyi Road,Complete,2020-2021,KINSHASARO INVESTMENT," 1,976,640.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,976,640.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/129/20-21,Mghalu Serenyi Road,Complete,2020-2021,INTENT AND PAL ENTERPRISES," 951,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 951,000.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/13/24-25,Grading Of Sewenga-Ilongonyi Road,Complete,2024-2025,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,6622370,0,Grading and bush clearing,Admin 3,,Wumingu/Kishushe,-3.356018,38.36349,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/130/20-21,Werunga Mwafunja ,Complete,2020-2021,TATAWE INVESTMENT COMPANY LIMITED," 3,236,235.30 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 3,236,235.30 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/131/20-21,Mwalenyi Kidemedu Road,Complete,2020-2021,KINSHASARO INVESTMENT," 600,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 600,000.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/132/19-20,Routine Maintenace And Spot Improvement,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 100,800 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/132/20-21,Mwangeka-Wesu ,Complete,2020-2021,Mechanical and Transport Fund," 100,800 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,2149596,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/133/19-20,Mbaramghondi - Ndumbinyi Road,Complete,2019-2020,MECHANICAL TRUST FUND," 2,000,003.20 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 2,000,003.20 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/133/20-21,Kwa Hebron Mwalachi Road,Complete,2020-2021,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,948178,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/134/19-20,Saraa - Ikonde - Kapanga Road,Complete,2019-2020,Smart Fingers Enterprises Limited," 1,717,991.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,717,991.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/134/20-21,Mranju Road,Complete,2020-2021,Decah Consolidated Systems Ltd," 306,286.40 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 306,286.40 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/135/19-20,Routine Maintenace And Spot Improvement,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/136/19-20,Mbaramghondi - Ndumbinyi Road,Complete,2019-2020,MECHANICAL TRUST FUND," 2,000,003.20 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 2,000,003.20 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/137/19-20,Saraa - Ikonde - Kapanga Road,Complete,2019-2020,Kilemba Enterprises Limited," 1,400,000.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,400,000.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/138/19-20,Slabing Of Mghange Nyika Catholic Stretch,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/139/19-20,Tungulu Karanga Footpath,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,496242,0,,Admin 3,,Mwanda/Mgange,0,0,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/14/24-25,Construction Of Mlilo Ecde,Complete,2024-2025,JUSTEMPA CONTRACTORS LTD," 500,000.00 ","Education, Libraries and VTCs",,,,,,0,,0," 500,000.00 ",0,"Classroom,Electrical installation and tank",Admin 3,,Wumingu/Kishushe,-3.173685,38.496654,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/140/19-20,Nyache 4 Door Public Toilet,Complete,2019-2020,NGANGAO WORKS LIMITED," 544,388.00 ","Trade, Tourism, Culture and Industrialization",,,,,,0,,0," 544,388.00 ",0,Construction and septic tank,Admin 3,,Wumingu/Kishushe,-3.337108,38.380273,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/141/19-20,Construction Of Single Workshop For Kishushe Vtc,Complete,2019-2020,MWAGHO COMPANY LTD," 847,948.40 ","Education, Libraries and VTCs",,,,,,0,,0," 847,948.40 ",0,Single worshop construction,Admin 3,,Wumingu/Kishushe,-3.279734,38.326839,County Government,100,,,Admin 3,Wumingu/Kishushe
006/131/142/19-20,Routine Maintenace And Spot Improvement,Complete,2019-2020,n/a,0,"Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/143/19-20,Mwangeka Wesu Road,Complete,2019-2020,ALTOVEX INVESTMENT," 1,742,830.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,742,830.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/144/19-20,Maintenance Of Mogho Saghamoka Road,Complete,2019-2020,MECHANICAL TRUST FUND," 1,500,979.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,500,979.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/145/19-20,Formation Of Fighinyi Nyache Road ,Complete,2019-2020,MECHANICAL TRUST FUND," 1,997,078.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 1,997,078.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/146/19-20,Renovation Works At Ex-Governor Building-Wundanyi,Complete,2019-2020,MWAKITANGE COMPANY LIMITED," 419,229.00 ","Public Works, Housing, Roads, Transport, Energy and Infrastructure",,,,,,0,,0," 419,229.00 ",0,,Admin 3,,Wundanyi/Mbale,-3.40111,38.35804,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/147/19-20,Proposed Construction Ofmain Gate At Wesu Hospital,Complete,2019-2020,SANABIL GENERAL SUPPLIES LTD," 621,900.00 ",Health Services,,,,,,0,,0," 621,900.00 ",0,,Admin 3,,Wundanyi/Mbale,-3.40884,38.34176,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/148/19-20,Proposed Rennovation Of Works Of Xray Block At Wesu Hospital,Complete,2019-2020,Smart Fingers Enterprises Limited," 228,146.00 ",Health Services,,,,,,0,,0," 228,146.00 ",0,,Admin 3,,Wundanyi/Mbale,-3.40884,38.34178,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/149/18-19,Agriculture Seedlings Program,Complete,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/149/19-20,Proposed Works And Rennovation Works At Wesu Health Centre,Complete,2019-2020,ADAMS SUPPLIES LTD," 4,229,034 ",Health Services,,,,,,0,,0,4229034,0,,Admin 3,,Wundanyi/Mbale,-3.40884,38.34178,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/15/24-25,Hpc Macadamia Processing Plant,Complete,2024-2025,Mrimo General Contractors Limited ," 3,000,000.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0," 3,000,000.00 ",0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/150/18-19,Operationization Of Milk Cooling Plants- Mgange Ward,Complete,2018-2019,DAWIDA DAIRY FARMERS COOPERATIVES," 1,000,000.00 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0," 1,000,000.00 ",0,"Connecting the facility with water, construction of intake, suply of 10000 litre plastic tank, construction of a water tour, plumbing works. ",Admin 3,,Mwanda/Mgange,-3.41613000,38.31573800,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/150/19-20,Proposed Refurbishment At Cecm Lands Office-Wundanyi,Ongoing,2019-2020,n/a,0,"Lands, Physical Planning, Mining and Urban Development",,,,,,0,,0,945423,0,,Admin 3,,Wundanyi/Mbale,-3.40328,38.36153,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/151/18-19,Completion Of Of Mwanda Slaughter House,Stalled,2018-2019,Mlawa Contractors," 500,000.00 ","Trade, Tourism, Culture and Industrialization",,,,,,0,,0," 500,000.00 ",0,Completion of of Mwanda slaughter house,Admin 3,,Mwanda/Mgange,-3.380835,38.285111,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/151/19-20,Repair Works At Drug Store Wundanyi,Complete,2019-2020,n/a,0,Health Services,,,,,,0,,0,1960139,0,,Admin 3,,Wundanyi/Mbale,-3.40303,38.36311,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/152/18-19,Agriculture Seedlings Program,Complete,2018-2019,n/a,0,"Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0,0,0,,Admin 3,,Wundanyi/Mbale,0,0,County Government,100,,,Admin 3,Wundanyi/Mbale
006/131/153/18-19,Operationization Of Milk Cooling Plants- Mgange Ward,Complete,2018-2019,JODIMIC KENYA LIMITED," 1,987,300 ","Agriculture, Livestock, Irrigation, Cooperatives and Blue Economy",,,,,,0,,0," 1,987,300 ",0,"Connecting the facility with water, construction of intake, suply of 10000 litre plastic tank, construction of a water tour, plumbing works. ",Admin 3,,Mwanda/Mgange,-3.41613000,38.31573800,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/155/18-19,Solome Water Project,Complete,2018-2019,Aruba Construction," 597,188 ","Water, Sanitation, Environment, Climate Change and Natural Resources",,,,,722365050,0,,0," 597,188 ",0,"Supply of plastic tanks, construction of tank bases, provision and installation of supply lines ",Admin 3,,Mwanda/Mgange,-3.3949980,38.313668,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/156/18-19,Majhughu Water Project,Complete,2018-2019,Unic Merchandise,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,,,,722899244,0,,0,1000000,0,Rehabilitation of pipeline and tanks,Admin 3,,Mwanda/Mgange,-3.41102500,38.2941270,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/157/18-19,Ivongongonyi Mwaroko Kokua Water Project,Complete,2018-2019,Damimwa Multi Venture,0,"Water, Sanitation, Environment, Climate Change and Natural Resources",,,,,715876410,0,,0,1000000,0,"Excavation of trenches, supply and laying of pipelines, construction of community water points. ",Admin 3,,Mwanda/Mgange,-3.35753800,38.3035300,County Government,100,,,Admin 3,Mwanda/Mgange
006/131/158/18-19,Construction Of Classroom At St Peter'S Ecde Ikuminyi,Stalled,2018-2019,n/a,0,"Education, Libraries and VTCs",,,,,,0,,0,1299800,0,"Sub structure works, super structure works, roofing, doors, windows, finishes, tank base, supply of 10000 liter heavy duty plastic tank, electrical works, branding and signage",Admin 3,,Mwanda/Mgange,-3.3999,38.30389,County Government,100,,,Admin 3,Mwanda/Mgange
